year,url,title,description,text,keywords,source
2016,https://www.eltiempo.com/archivo/documento/CMS-16471916,Farc niegan que alias el enfermero perteneza a sus filas,"La guerrilla afirma que 'ningún frente' conoce al hombre, sindicado de practicar abortos ilegales. ",Eltiempo.com,"farc, niegan, enfermero, pertenezca, filas",El Tiempo
2016,https://www.eltiempo.com/archivo/documento/CMS-16473749,Proceso de paz: Humberto de la Calle responde críticas de Farc por demora en indultos,El jefe negociador respondió a las críticas que esa guerrilla ha hecho a los procesos de indulto.,Política ,"humberto, calle, pide, farc, adaptarse",El Tiempo
2016,https://www.eltiempo.com/politica/proceso-de-paz/que-es-la-ley-de-amnistia-aprobada-en-el-congreso-47046,Qué es la ley de amnistía aprobada en el Congreso,"Iniciativa permitirá el desarme, reinserción y la reintegración de los miembros de esta guerrilla.",Redacción El Tiempo,"Farc,Política",El Tiempo
2016,https://www.eltiempo.com/justicia/cortes/cifras-de-secuestros-en-colombia-en-el-2016-42728,Cifras de secuestros en Colombia en el 2016,En el 2016 no se reportaron secuestros por parte de la guerrilla de las Farc.,Redacción El Tiempo,"Secuestros en Colombia,Farc,ELN,Delincuencia en Colombia,Política",El Tiempo
2017,https://www.eltiempo.com/politica/proceso-de-paz/farc-advierte-riesgo-de-impunidad-en-colombia-en-carta-a-la-cpi-1530342,,,,,El Tiempo
2017,https://www.eltiempo.com/politica/proceso-de-paz/efectos-en-colombia-tras-un-ano-de-la-firma-del-acuerdo-de-paz-con-las-farc-152740,Efectos en Colombia tras un año de la firma del acuerdo de paz con las Farc,"A cinco días del primer aniversario de la firma de la paz con esa guerrilla, evaluamos sus efectos.",Juaroj Juaroj,"colombia, despues, farc, las, ano",El Tiempo
2017,https://www.eltiempo.com/politica/proceso-de-paz/tolima-ya-no-es-territorio-de-guerra-por-parte-de-las-farc-157682,Tolima ya no es territorio de guerra por parte de las Farc,Habitantes del departamento sienten la calma que ha traído el fin del conflicto con la guerrilla.,Anacom Anacom,"reconciliacion, tolima, zona, farc, cuna",El Tiempo
2017,https://www.eltiempo.com/justicia/cortes/acuerdo-de-paz-con-farc-no-podra-ser-modificado-hasta-el-2030-140184,Acuerdo de paz con Farc no podrá ser modificado hasta el 2030,La Corte Constitucional mantuvo el blindaje jurídico sobre lo pactado con la guerrilla.,Milsar Milsar,"constitucional, mantiene, blindaje, juridico, acuerdos",El Tiempo
2018,https://www.eltiempo.com/politica/partidos-politicos/partido-farc-se-aparto-de-acuerdo-politico-para-modificar-la-jep-288690,Partido Farc se apartó de acuerdo político para modificar la JEP,Movimiento político de la exguerrilla pidió intervención de la Corte Penal Internacional.,Fraval Fraval,"modificar, uribismo, politico, acuerdo, aparto",El Tiempo
2018,https://www.eltiempo.com/justicia/jep-colombia/politicos-secuestrados-por-las-farc-entregaran-testimonios-a-la-jep-284034,Políticos secuestrados por las Farc entregarán testimonios a la JEP,Versiones arrancan este lunes en proceso por secuestro contra cúpula de la exguerrilla.,Marisol Gomez,"secuestrados, testimonio, entregaran, politicos, farc",El Tiempo
2018,https://www.eltiempo.com/justicia/investigacion/santrich-e-ivan-marquez-estarian-analizando-acudir-ante-la-cidh-274814,Santrich e Iván Márquez estarían analizando acudir ante la CIDH,"En Washington, tres líderes de la exguerrilla solicitaron este viernes medidas cautelares.",Unidad Investigativa,"analizan, santrich, marquez, tambien, acudir",El Tiempo
2018,https://www.eltiempo.com/justicia/jep-colombia/jep-no-encontro-a-4-exjefes-de-las-farc-para-que-ratifiquen-compromiso-con-el-proceso-272734,JEP no encontró a 4 exjefes de las Farc para que ratifiquen compromiso con el proceso,"De 31 exjefes de esa exguerrilla, solo 27 pudieron ser notificados. ",Milsar Milsar,"compromiso, ratifiquen, encontro, para, farc",El Tiempo
2019,https://www.eltiempo.com/politica/partidos-politicos/uribistas-llevaran-a-la-justicia-incumplimientos-de-los-acuerdos-de-las-farc-443042,Uribistas llevarán a la justicia incumplimientos de los acuerdos de las Farc,Senadores uribistas buscan llevar ante la justicia cumplimiento de la antigua guerrilla de las Farc.,Mateo García,"encargaremos, exigido, cumpla, poco, farc",El Tiempo
2019,https://www.eltiempo.com/politica/proceso-de-paz/farc-rechaza-decreto-que-fija-plazo-para-entrega-de-sus-bienes-425698,Farc rechaza decreto que fija plazo para entrega de sus bienes,El Gobierno expedirá un decreto que da plazo a la exguerrilla de entregar bienes antes del 2020.,Mateo García,"rechaza, decreto, entrega, bienes, plazo",El Tiempo
2019,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/desafio-del-gobierno-para-evitar-asesinatos-de-exguerrilleros-de-las-farc-379470,Desafío del Gobierno para evitar asesinatos de exguerrilleros de las Farc,El partido político de la exguerrilla dice que van 133 asesinados desde la firma de la paz. ,Marisol Gomez,"gobierno, matando, desafio, evitar, sigan",El Tiempo
2019,https://www.eltiempo.com/politica/congreso/en-votacion-de-ascensos-partido-farc-sorprendio-con-reconocimiento-al-ejercito-y-la-policia-371682,"En votación de ascensos, partido Farc sorprendió con reconocimiento al Ejército y la Policía","En votación de ascensos, la exguerrilla sorprendió con su reconocimiento al Ejército y la Policía.",Fraval Fraval,"ascensos, votacion, partido, separo, farc",El Tiempo
2020,https://www.eltiempo.com/politica/congreso/timochenko-dice-que-las-farc-si-han-entregado-bienes-para-la-reparacion-498356,Timochenko dice que las Farc sí han entregado bienes para la reparación,El jefe del partido Farc dijo que la exguerrilla entregó un inventario de más de $ 963.241 millones.,Fraval Fraval,"timochenko, colombia, firmamos, acuerdo, mentir",El Tiempo
2020,https://www.eltiempo.com/justicia/investigacion/por-que-farc-esta-reconociendo-secuestros-abusos-sexuales-y-reclutamiento-de-menores-537982,"Por qué Farc está reconociendo secuestros, abusos sexuales y reclutamiento de menores",Expertos consideran que varios factores pueden influir en su reconocimiento público de estos hechos.,Marfon Marfon,"reconocimiento, secuestros, sexuales, abusos, farc",El Tiempo
2020,https://www.eltiempo.com/politica/proceso-de-paz/que-dijeron-las-farc-en-la-comision-de-la-verdad-464718,Qué dijeron las Farc en la Comisión de la Verdad,Los miembros del secretariado de la exguerrilla acudieron esta semana a la Comisión de la Verdad.,Gerfor Gerfor,"testimonios, comision, verdad, farc, paso",El Tiempo
2020,https://www.eltiempo.com/justicia/delitos/dos-excombatientes-de-farc-asesinados-el-fin-de-semana-512676,Dos excombatientes de Farc asesinados el fin de semana,"Según el partido de la antigua guerrilla, ya son 214 los reincorporados que han sido asesinados.",Davlop Davlop,"excombatientes, asesinados, semana, fueron, farc",El Tiempo
2021,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/romana-se-arrepintio-por-victimas-de-la-guerra-y-abandono-el-acuerdo-637486,‘Romaña’ se arrepintió por víctimas de la guerra y abandonó el Acuerdo,"El guerrillero, al parecer, murió este martes en manos de las disidencias en Venezuela.",Tendencias El Tiempo*,"cuando, romana, se, arrepintio, por, las, victimas, antes, de, abandonar, la, paz",El Tiempo
2021,https://www.eltiempo.com/justicia/paz-y-derechos-humanos/cuantos-desaparecidos-ha-dejado-el-conflicto-en-colombia-cifras-y-datos-637170,Cuántos desaparecidos ha dejado el conflicto en Colombia. Cifras y datos,"Paramilitares y guerrillas, los principales responsables. Víctimas le piden a JEP abrir macrocaso.",Redacción Justicia,"en, colombia, habria, entre, 80, 720, y, 99, 235, desaparecidos, en, el, conflicto",El Tiempo
2021,https://www.eltiempo.com/politica/proceso-de-paz/juan-manuel-santos-gobierno-desmiente-que-haya-acercamientos-con-el-eln-634535,Juan Manuel Santos: Gobierno desmiente que haya acercamientos con el Eln,Expresidente Santos dijo que Duque busca reanudar los diálogos de paz con esa guerrilla.,Jormel Jormel,"comisionado, de, paz, desmiente, que, haya, acercamientos, con, el, eln",El Tiempo
2021,https://www.eltiempo.com/politica/proceso-de-paz/quien-es-rodrigo-granda-recorrido-por-la-vida-del-exguerrillero-626662,Quién es Rodrigo Granda: recorrido por la vida del exguerrillero,Granda es conocido como el excanciller de la antigua guerrilla de las Farc.,Política,"quien, es, rodrigo, granda, recorrido, por, la, vida, del, exguerrillero",El Tiempo
2022,https://www.eltiempo.com/justicia/conflicto-y-narcotrafico/comision-de-la-verdad-responsabilidad-de-guerrillas-que-azotaron-al-pais-683375,Comisión de la Verdad: responsabilidad de guerrillas que azotaron al país,Varias organizaciones insurgentes hicieron graves infracciones al DIH y abusos de derechos humanos.,Redacción Justicia,"Comisión de la verdad, guerrillas, grupos insurgentes, DIH, conflicto armado, colombia, derechos humanos, Farc",El Tiempo
2022,https://www.eltiempo.com/colombia/otras-ciudades/campesinos-en-tumaco-impiden-presencia-de-soldados-646765,Campesinos en Tumaco impiden  presencia de soldados,Temen quedar en fuego cruzado ante la presencia de grupos armados organizados. ,Pasto,"campesinos, en, tumaco, impiden, presencia, de, soldados",El Tiempo
2022,https://www.eltiempo.com/justicia/investigacion/sae-subastara-las-joyas-incautadas-a-la-extinta-guerrilla-de-las-farc-718147,SAE subastará las joyas incautadas a la extinta guerrilla de las Farc,Los elementos serán exhibidos en El Martillo del Banco Popular.,Redacción Justicia,"SAE, joyas de las farc, Farc, subasta, justicia",El Tiempo
2023,https://www.eltiempo.com/politica/proceso-de-paz/lafaurie-mando-a-antonio-garcia-del-eln-a-leer-acuerdos-el-no-esta-en-mesa-de-dialogo-839181,Lafaurie mandó a Antonio García del Eln a leer acuerdos: él no está en mesa de diálogo,El presidente de Fedegán reafirmó que cualquier recurso irá a iniciativas relacionadas con la paz.,Camilo Andres Castillo Torres,"en, mexico, no, se, pacto, que, el, financiamiento, lafaurie, tras, palabras, de, antonio, garcia",El Tiempo
2023,https://www.eltiempo.com/justicia/investigacion/procuraduria-alerta-baja-ejecucion-de-recursos-para-implementar-el-acuerdo-de-paz-839028,Procuraduría alerta baja ejecución de recursos para implementar el Acuerdo de Paz,El ente de control expuso en un informe ante el Congreso que en varios frentes hay demoras.,Carlos Alberto Lopez Benavides,"procuraduria, acuerdo de paz, farc, juan manuel santos, margarita cabello",El Tiempo
2023,https://www.eltiempo.com/justicia/jep-colombia/secuestros-jep-abre-incidente-de-incumplimiento-contra-exfarc-838880,"Secuestros: JEP, abre incidente de incumplimiento contra exFarc","De acuerdo con la Jurisdicción Especial para la Paz, no han cumplido con su aporte a la verdad.",Alimen Alimen,"jep, abrio, incidente, de, incumplimiento, contra, 7, exfarc, por, caso, de, secuestros",El Tiempo
2023,https://www.eltiempo.com/politica/proceso-de-paz/los-motivos-por-los-que-el-presidente-petro-dice-que-acuerdo-de-paz-no-se-cumplira-835147,Los motivos por los que el presidente Petro dice que acuerdo de paz no se cumplirá,El mandatario señaló que no se han logrado ciertas condiciones para cumplir lo pactado.,Camilo Andres Castillo Torres,"los, motivos, por, los, que, el, presidente, petro, dice, que, acuerdo, de, paz, no, se, cumplira",El Tiempo
